Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1673,Historical,Estratovolcán,True,False,Gamkonora (Indonesia)
1754,Historical,Estratovolcán,True,True,Taal (Philippines)
1768,Historical,Estratovolcán,False,False,Cotopaxi (Ecuador)
1792,Historical,Volcán Complejo,True,True,Unzen (Japan)
1814,Historical,Estratovolcán,False,False,Mayon (Philippines)
1815,Historical,Estratovolcán,True,False,Tambora (Indonesia)
1818,Historical,Estratovolcán,False,False,Colima (Mexico)
1854,Historical,Estratovolcán,True,False,Alaid (Russia)
1863,Historical,Estratovolcán,True,True,Yasur (Vanuatu)
1872,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1884,Historical,Caldera,True,False,Krakatau (Indonesia)
1888,Historical,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1888,Historical,Estratovolcán,False,False,Bandai (Japan)
1913,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1916,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
1920,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1946,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1948,Historical,Volcán Complejo,False,False,Iliwerung (Indonesia)
1950,Historical,Estratovolcán,False,False,Camiguin (Philippines)
1950,Historical,Volcán Complejo,False,False,Asama (Japan)
1951,Historical,Estratovolcán,True,True,Cosiguina (Nicaragua)
1956,Historical,Estratovolcán,True,False,Bezymianny (Russia)
1958,Historical,Caldera,True,False,Kuwae (Vanuatu)
1967,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1974,Historical,Estratovolcán,False,False,Sakura-jima (Japan)
1979,Historical,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1984,Historical,Estratovolcán,False,False,Mayon (Philippines)
1988,Historical,Caldera,False,False,Banda Api (Pacific Ocean)
1993,Historical,Caldera,False,False,Krakatau (Indonesia)
1996,Historical,Estratovolcán,True,False,Karymsky (Russia)
1997,Historical,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2006,Historical,Estratovolcán,False,False,Bulusan (Philippines)
2007,Historical,Estratovolcán,False,False,Manam (Papua New Guinea)
2007,Historical,Estratovolcán,False,False,"Tair, Jebel at (Yemen)"
2011,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
2012,Historical,Volcán En Escudo,False,False,Tolbachik (Russia)
2018,Historical,Volcán En Escudo,True,True,Kilauea (United States)
2020,Historical,Estratovolcán,True,True,Ijen (Indonesia)
-197,Historical,Volcán En Escudo,True,True,Santorini (Greece)
60,Radiocarbon,Estratovolcán,False,False,Bona-Churchill (United States)
1631,Historical,Volcán Complejo,True,True,Vesuvius (Italy)
1682,Historical,Volcán Complejo,False,False,Vesuvius (Italy)
1757,Historical,Grieta De Viento,False,True,San Jorge (Portugal)
1812,Historical,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1827,Historical,Estratovolcán,False,False,Avachinsky (Russia)
1846,Historical,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1856,Historical,Estratovolcán,False,False,Komaga-take (Japan)
1883,Historical,Arandela De Cúpula,True,False,Augustine (United States)
1914,Historical,Estratovolcán,True,True,Sakura-jima (Japan)
1919,Historical,Estratovolcán,True,False,Stromboli (Italy)
1927,Historical,Estratovolcán,False,False,Esjufjoll (Iceland)
1944,Historical,Volcán Complejo,False,False,Vesuvius (Italy)
1949,Historical,Estratovolcán,False,False,Camiguin (Philippines)
1953,Holocene,Volcán Submarino,True,False,Myojun Knoll (Japan)
1968,Historical,Estratovolcán,False,False,Arenal (Costa Rica)
1972,Radiocarbon,Volcán Complejo,False,False,Hakone (Japan)
1981,Historical,Estratovolcán,False,False,Alaid (Russia)
1990,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1997,Historical,Estratovolcán,False,False,Soufriere Hills (Montserrat)
2002,Historical,Estratovolcán,False,False,Semeru (Indonesia)
2006,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
-3580,Historical,Estratovolcán,False,False,Taal (Philippines)
-2040,Historical,Volcán Complejo,False,False,Long Island (Papua New Guinea)
653,Anthropology,Caldera,False,False,Dakataua (Papua New Guinea)
683,Historical,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
950,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1580,Historical,Grieta De Viento,False,False,San Jorge (Portugal)
1581,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1608,Historical,Estratovolcán,True,False,Gamalama (Indonesia)
1625,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1660,Historical,Estratovolcán,False,False,Teon (Pacific Ocean)
1773,Historical,Estratovolcán,False,False,Gamalama (Indonesia)
1779,Historical,Volcán Complejo,False,False,Vesuvius (Italy)
1801,Historical,Estratovolcán,False,False,Chokai (Japan)
1804,Historical,Caldera,False,False,Shikotsu (Japan)
1820,Historical,Estratovolcán,True,True,Westdahl (United States)
1845,Historical,Estratovolcán,False,False,Hekla (Iceland)
1867,Historical,Volcán Complejo,False,False,Zao (Japan)
1870,Historical,Volcán En Escudo,False,False,Aoba (Vanuatu)
1910,Radiocarbon,Caldera,False,False,Taupo (New Zealand)
1952,Radiocarbon,Volcán Complejo,False,False,Hakone (Japan)
1953,Historical,Caldera,False,False,Aso (Japan)
1963,Historical,Estratovolcán,False,False,Irazu (Costa Rica)
1974,Historical,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1986,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1987,Historical,Volcán Complejo,False,False,Pacaya (Guatemala)
1990,Historical,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
1993,Historical,Estratovolcán,False,False,Pinatubo (Philippines)
2000,Historical,Estratovolcán,True,True,Miyake-jima (Japan)
2006,Historical,Estratovolcán,False,False,Mayon (Philippines)
2009,Historical,Estratovolcán,False,False,Redoubt (United States)
2016,Holocene,Estratovolcán,False,False,Sinabung (Indonesia)
2018,Historical,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
2019,Historical,Estratovolcán,False,False,Stromboli (Italy)
-1860,Historical,Estratovolcán,False,False,St. Helens (United States)
230,Radiocarbon,Caldera,False,False,Taupo (New Zealand)
1169,Historical,Estratovolcán,True,True,Etna (Italy)
1566,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1597,Historical,Estratovolcán,False,False,Hekla (Iceland)
1640,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
1650,Historical,Volcán En Escudo,True,False,Santorini (Greece)
1660,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1672,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1679,Holocene,Volcán En Escudo,False,True,Zukur (Yemen)
1717,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1741,Historical,Estratovolcán,True,False,Oshima-Oshima (Japan)
1753,Historical,Caldera,False,False,Grimsvotn (Iceland)
1780,Historical,Estratovolcán,True,False,Sakura-jima (Japan)
1817,Historical,Estratovolcán,False,False,Raung (Indonesia)
1833,Historical,Estratovolcán,False,False,Kaba (Indonesia)
1841,Historical,Estratovolcán,False,False,Kuchinoerabu-jima (Japan)
1843,Radiocarbon,Estratovolcán,True,False,Liamuiga (St. Kitts & Nevis)
1871,Historical,Estratovolcán,True,False,Ruang (Indonesia)
1899,Historical,Estratovolcán,False,False,Manam (Papua New Guinea)
1900,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1928,Historical,Estratovolcán,False,False,Mayon (Philippines)
1937,Historical,Escudo Piroclástico,True,True,Rabaul (Papua New Guinea)
1946,Historical,Estratovolcán,False,False,Sakura-jima (Japan)
1953,Historical,Volcán Complejo,True,False,St. Andrew Strait (Papua New Guinea)
1976,Historical,Estratovolcán,False,False,Sangay (Ecuador)
1977,Historical,Estratovolcán,False,False,Kliuchevskoi (Russia)
1981,Historical,Estratovolcán,False,False,Mayon (Philippines)
1992,Historical,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1994,Historical,Escudo Piroclástico,True,False,Rabaul (Papua New Guinea)
1997,Historical,Estratovolcán,False,False,Merapi (Indonesia)
2005,Historical,Estratovolcán,False,False,Manam (Papua New Guinea)
2006,Historical,Estratovolcán,False,False,Raoul Island (New Zealand)
2014,Historical,Estratovolcán,False,False,Fogo (Cape Verde)
2015,Historical,Estratovolcán,False,False,Manam (Papua New Guinea)
1334,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1564,Historical,Estratovolcán,False,False,Gamkonora (Indonesia)
1711,Historical,Estratovolcán,False,False,Awu (Indonesia)
1873,Historical,Volcán Complejo,False,False,Vesuvius (Italy)
1877,Historical,Estratovolcán,False,False,Cotopaxi (Ecuador)
1892,Historical,Estratovolcán,True,False,Awu (Indonesia)
1895,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1895,Historical,Estratovolcán,False,False,Karkar (Papua New Guinea)
1902,Historical,Estratovolcán,True,False,Pelee (Martinique)
1904,Historical,Volcán En Escudo,False,False,Karthala (Comoros)
1906,Historical,Volcán Complejo,True,False,Vesuvius (Italy)
1928,Historical,Estratovolcán,False,False,Etna (Italy)
1929,Historical,Estratovolcán,False,False,Calbuco (Chile)
1930,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1933,Historical,Estratovolcán,True,False,Kharimkotan (Russia)
1933,Historical,Estratovolcán,False,False,Kuchinoerabu-jima (Japan)
1950,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1972,Historical,Volcán En Escudo,False,False,"Fournaise, Piton de la (Reunion)"
1978,Historical,Estratovolcán,False,False,Usu (Japan)
1979,Historical,Volcán Complejo,True,False,Iliwerung (Indonesia)
1996,Holocene,Estratovolcán,False,False,Maderas (Nicaragua)
2002,Historical,Estratovolcán,False,False,Reventador (Ecuador)
2011,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
2016,Historical,Caldera,False,False,Aso (Japan)
-1010,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
