,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
602,1914,,Estratovolcán,True,True,White Island (New Zealand)
603,1928,3.0,Estratovolcán,False,True,Paluweh (Indonesia)
604,1952,2.0,Volcán Submarino,False,True,Myojun Knoll (Japan)
605,1953,0.0,Volcán Complejo,True,True,Sirung (Indonesia)
606,1963,2.0,Estratovolcán,True,True,Villarrica (Chile)
607,1976,2.0,Estratovolcán,True,True,Merapi (Indonesia)
608,1977,3.0,Estratovolcán,True,True,Usu (Japan)
609,1980,5.0,Estratovolcán,False,False,St. Helens (United States)
610,1981,,Estratovolcán,True,True,Vilyuchik (Russia)
611,1985,3.0,Estratovolcán,True,True,Ruiz (Colombia)
612,1990,3.0,Estratovolcán,True,True,Shiveluch (Russia)
613,1990,3.0,Estratovolcán,True,True,Santa Maria (Guatemala)
614,1995,3.0,Estratovolcán,True,True,Yasur (Vanuatu)
615,2006,1.0,Estratovolcán,True,True,Merapi (Indonesia)
616,2010,2.0,Estratovolcán,True,True,Eyjafjallajokull (Iceland)
617,2010,3.0,Estratovolcán,True,True,Tungurahua (Ecuador)
618,2011,,Volcán Subglacial,True,True,Katla (Iceland)
619,2015,,Estratovolcán,True,True,Sinabung (Indonesia)
620,2018,2.0,Escudo Piroclástico,True,False,Ambrym (Vanuatu)
621,2019,4.0,Estratovolcán,True,True,Manam (Papua New Guinea)
622,-3550,6.0,Estratovolcán,True,True,Pinatubo (Philippines)
623,1050,,Volcán En Escudo,False,True,Santorini (Greece)
624,1177,3.0,Volcán Subglacial,True,True,Katla (Iceland)
625,1595,4.0,Estratovolcán,True,True,Ruiz (Colombia)
626,1598,3.0,Caldera,True,True,Banda Api (Pacific Ocean)
627,1638,4.0,Estratovolcán,True,True,Raung (Indonesia)
628,1659,3.0,Estratovolcán,True,False,San Salvador (El Salvador)
629,1684,2.0,Caldera,True,True,Grimsvotn (Iceland)
630,1693,4.0,Estratovolcán,False,True,Hekla (Iceland)
631,1694,3.0,Caldera,True,True,Banda Api (Pacific Ocean)
632,1794,3.0,Volcán Complejo,True,True,Vesuvius (Italy)
633,1800,1.0,Grieta De Viento,True,True,San Jorge (Portugal)
634,1816,2.0,Caldera,True,True,Aso (Japan)
635,1817,2.0,Estratovolcán,True,True,Ijen (Indonesia)
636,1825,,Estratovolcán,True,True,Balbi (Papua New Guinea)
637,1846,1.0,Estratovolcán,True,True,E-san (Japan)
638,1875,,Estratovolcán,True,True,Mayon (Philippines)
639,1889,2.0,Volcán Submarino,False,False,Banua Wuhu (Indonesia)
640,1912,6.0,Caldera,True,True,Novarupta (United States)
641,1953,,Volcán Complejo,True,True,Hakone (Japan)
642,1961,,Estratovolcán,True,True,Daisetsu (Japan)
643,1964,1.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
644,1965,0.0,Volcán Submarino,False,True,Kick-'em-Jenny (Netherlands)
645,1971,2.0,Estratovolcán,False,True,Tinakula (Solomon Is.)
646,1976,2.0,Estratovolcán,True,True,Semeru (Indonesia)
647,1976,2.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
648,1978,3.0,Estratovolcán,True,True,Santa Maria (Guatemala)
649,1983,2.0,Estratovolcán,True,True,Kliuchevskoi (Russia)
650,1986,3.0,Estratovolcán,True,True,Oshima (Japan)
651,1992,2.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
652,2002,3.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
653,2013,3.0,Estratovolcán,True,True,Paluweh (Indonesia)
654,2013,2.0,Estratovolcán,True,True,Sinabung (Indonesia)
655,2017,2.0,Estratovolcán,True,True,Sinabung (Indonesia)
656,2018,1.0,Caldera,False,True,Krakatau (Indonesia)
657,2019,,Estratovolcán,True,True,Ulawun (Papua New Guinea)
658,450,6.0,Caldera,True,True,Ilopango (El Salvador)
659,1565,3.0,Volcán Complejo,True,False,Pacaya (Guatemala)
660,1716,3.0,Volcán En Escudo,True,True,Kirishima (Japan)
661,1721,1.0,Volcán Complejo,True,True,Asama (Japan)
662,1762,2.0,Estratovolcán,True,True,Kliuchevskoi (Russia)
663,1784,,Estratovolcán,True,True,Sabancaya (Peru)
664,1786,2.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
665,1800,,Volcán Complejo,True,True,Guntur (Indonesia)
666,1800,0.0,Volcán En Escudo,True,True,Hualalai (United States)
667,1839,2.0,Volcán Submarino,False,True,Unnamed (Chile)
668,1861,2.0,Caldera,True,True,Grimsvotn (Iceland)
669,1878,3.0,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
670,1901,3.0,Estratovolcán,True,True,Kelut (Indonesia)
671,1911,3.0,Estratovolcán,False,False,Taal (Philippines)
672,1917,3.0,Estratovolcán,True,True,"Lengai, Ol Doinyo (Tanzania)"
673,1921,,Estratovolcán,True,True,Nasu (Japan)
674,1933,,Volcán Complejo,True,True,Hakone (Japan)
